SPECIES_CODE,SCI_NAME,PRIMARY_COM_NAME
yebfly,Empidonax_flaviventris,Yellow-bellied_Flycatcher
yebfly1,Tolmomyias_flaviventris,Yellow-breasted_Flycatcher
yebjac1,Galbula_albirostris,Yellow-billed_Jacamar
yebloo,Gavia_adamsii,Yellow-billed_Loon
yebmag,Pica_nuttalli,Yellow-billed_Magpie
yebnun1,Monasa_flavirostris,Yellow-billed_Nunbird
yebori1,Icterus_chrysater,Yellow-backed_Oriole
yebpar1,Amazona_collaria,Yellow-billed_Parrot
yebpin1,Anas_georgica,Yellow-billed_Pintail
yebsap,Sphyrapicus_varius,Yellow-bellied_Sapsucker
yebsee1,Sporophila_nigricollis,Yellow-bellied_Seedeater
yebsis1,Spinus_xanthogastrus,Yellow-bellied_Siskin
yebspa1,Ammodramus_aurifrons,Yellow-browed_Sparrow
yebtan1,Hemithraupis_flavicollis,Yellow-backed_Tanager
yebtan2,Tangara_xanthogastra,Yellow-bellied_Tanager
yebtea1,Anas_flavirostris,Yellow-billed_Teal
yebter2,Sternula_superciliaris,Yellow-billed_Tern
yebtou1,Aulacorhynchus_huallagae,Yellow-browed_Toucanet
yebtyr1,Ornithion_semiflavum,Yellow-bellied_Tyrannulet
yebtyr2,Satrapa_icterophrys,Yellow-browed_Tyrant
yebwaa1,Hypocnemis_subflava,Yellow-breasted_Warbling-Antbird
yebwar3,Phylloscopus_inornatus,Yellow-browed_Warbler
yecbis,Euplectes_afer,Yellow-crowned_Bishop
yecchl1,Chlorophonia_flavirostris,Yellow-collared_Chlorophonia
yecela1,Myiopagis_flavivertex,Yellow-crowned_Elaenia
yeceup1,Euphonia_luteicapilla,Yellow-crowned_Euphonia
yeclov,Agapornis_personatus,Yellow-collared_Lovebird
yecmac,Primolius_auricollis,Yellow-collared_Macaw
yecman2,Heterocercus_flavivertex,Yellow-crowned_Manakin
yecpar,Brotogeris_chiriri,Yellow-chevroned_Parakeet
yecred1,Myioborus_flavivertex,Yellow-crowned_Redstart
yecspi2,Certhiaxis_cinnamomeus,Yellow-chinned_Spinetail
yectan1,Tachyphonus_rufiventer,Yellow-crested_Tanager
yectyr1,Tyrannulus_elatus,Yellow-crowned_Tyrannulet
yeejun,Junco_phaeonotus,Yellow-eyed_Junco
yeepar1,Ognorhynchus_icterotis,Yellow-eared_Parrot
yeetou1,Selenidera_spectabilis,Yellow-eared_Toucanet
yeewoo1,Veniliornis_maculifrons,Yellow-eared_Woodpecker
yefcan,Serinus_mozambicus,Yellow-fronted_Canary
yefgra1,Tiaris_olivaceus,Yellow-faced_Grassquit
yefgul,Larus_livens,Yellow-footed_Gull
yefpar2,Forpus_xanthops,Yellow-faced_Parrotlet
yefpar5,Alipiopsitta_xanthops,Yellow-faced_Parrot
yefsis1,Spinus_yarrellii,Yellow-faced_Siskin
yefwoo1,Melanerpes_flavifrons,Yellow-fronted_Woodpecker
yegfin1,Pselliophorus_luteoviridis,Yellow-green_Finch
yeggro1,Caryothraustes_canadensis,Yellow-green_Grosbeak
yegtyr1,Phylloscartes_flavovirens,Yellow-green_Tyrannulet
yegvir,Vireo_flavoviridis,Yellow-green_Vireo
yehbla,Xanthocephalus_xanthocephalus,Yellow-headed_Blackbird
yehbla2,Chrysomus_icterocephalus,Yellow-hooded_Blackbird
yehbrf1,Atlapetes_flaviceps,Yellow-headed_Brushfinch
yehcar1,Milvago_chimachima,Yellow-headed_Caracara
yehman2,Chloropipo_flavicapilla,Yellow-headed_Manakin
yehpar,Amazona_oratrix,Yellow-headed_Parrot
yehwar1,Teretistris_fernandinae,Yellow-headed_Warbler
yekcur1,Crax_daubentoni,Yellow-knobbed_Curassow
yelbit,Ixobrychus_sinensis,Yellow_Bittern
yelcar1,Gubernatrix_cristata,Yellow_Cardinal
yelfly1,Empidonax_flavescens,Yellowish_Flycatcher
yelgro,Pheucticus_chrysopeplus,Yellow_Grosbeak
yelgul1,Larus_michahellis,Yellow-legged_Gull
yellow2,Emberiza_citrinella,Yellowhammer
yelori1,Icterus_nigrogularis,Yellow_Oriole
yelpar1,Amazona_xantholora,Yellow-lored_Parrot
yelpip1,Anthus_lutescens,Yellowish_Pipit
yelrai,Coturnicops_noveboracensis,Yellow_Rail
yelthr1,Turdus_flavipes,Yellow-legged_Thrush
yeltin1,Crypturellus_noctivagus,Yellow-legged_Tinamou
yeltyr1,Capsiempis_flaveola,Yellow_Tyrannulet
yelwar,Setophaga_petechia,Yellow_Warbler
yemfly1,Tolmomyias_assimilis,Yellow-margined_Flycatcher
yenalb,Thalassarche_chlororhynchos,Yellow-nosed_Albatross
yenpar1,Amazona_auropalliata,Yellow-naped_Parrot
yeofly1,Tolmomyias_sulphurescens,Yellow-olive_Flycatcher
yerant1,Euchrepomis_sharpei,Yellow-rumped_Antwren
yercac1,Cacicus_cela,Yellow-rumped_Cacique
yermar1,Pseudoleistes_guirahuro,Yellow-rumped_Marshbird
yersis1,Spinus_uropygialis,Yellow-rumped_Siskin
yerwar,Setophaga_coronata,Yellow-rumped_Warbler
yesbla1,Agelaius_xanthomus,Yellow-shouldered_Blackbird
yesgra1,Loxipasser_anoxanthus,Yellow-shouldered_Grassquit
yesgro2,Parkerthraustes_humeralis,Yellow-shouldered_Grosbeak
yespar1,Amazona_barbadensis,Yellow-shouldered_Parrot
yestan1,Iridosornis_reinhardti,Yellow-scarfed_Tanager
yetant1,Myrmotherula_ambigua,Yellow-throated_Antwren
yetbun1,Emberiza_elegans,Yellow-throated_Bunting
yeteup1,Euphonia_hirundinacea,Yellow-throated_Euphonia
yetfin1,Pselliophorus_tibialis,Yellow-thighed_Finch
yetfly2,Conopias_parvus,Yellow-throated_Flycatcher
yetori1,Icterus_mesomelas,Yellow-tailed_Oriole
yetspa1,Platyrinchus_flavigularis,Yellow-throated_Spadebill
